"행정구역","2021년05월_남_총인구수","2021년05월_남_연령구간인구수","2021년05월_남_0~9세","2021년05월_남_10~19세","2021년05월_남_20~29세","2021년05월_남_30~39세","2021년05월_남_40~49세","2021년05월_남_50~59세","2021년05월_남_60~69세","2021년05월_남_70~79세","2021년05월_남_80~89세","2021년05월_남_90~99세","2021년05월_남_100세 이상","2021년05월_여_총인구수","2021년05월_여_연령구간인구수","2021년05월_여_0~9세","2021년05월_여_10~19세","2021년05월_여_20~29세","2021년05월_여_30~39세","2021년05월_여_40~49세","2021년05월_여_50~59세","2021년05월_여_60~69세","2021년05월_여_70~79세","2021년05월_여_80~89세","2021년05월_여_90~99세","2021년05월_여_100세 이상"
"서울특별시 중랑구 면목제3.8동(1126057500)","12,541","12,541","554","754","1,897","1,876","1,812","2,268","1,985","1,023","338","33","1","12,699","12,699","531","699","1,877","1,652","1,628","2,378","2,126","1,232","494","79","3"
"서울특별시 중랑구 상봉제1동(1126058000)","12,001","12,001","942","1,015","1,754","1,833","1,762","2,054","1,674","690","262","15","0","12,574","12,574","871","904","1,802","1,797","1,797","2,234","1,785","886","422","74","2"
"서울특별시 중랑구 상봉제2동(1126059000)","9,747","9,747","382","406","1,743","2,195","1,353","1,561","1,230","652","206","17","2","10,401","10,401","391","356","2,441","2,092","1,229","1,542","1,314","709","271","47","9"
"서울특별시 중랑구 중화제1동(1126060000)","9,793","9,793","636","638","1,396","1,652","1,462","1,546","1,510","715","225","12","1","10,207","10,207","591","670","1,454","1,504","1,345","1,755","1,643","859","330","56","0"
"서울특별시 중랑구 중화제2동(1126061000)","12,911","12,911","561","613","1,844","1,929","1,841","2,566","2,151","1,017","361","26","2","12,213","12,213","461","550","1,872","1,704","1,542","2,247","2,041","1,200","531","60","5"
"서울특별시 중랑구 묵제1동(1126062000)","16,912","16,912","1,163","1,550","2,395","2,419","2,797","2,666","2,260","1,197","437","22","6","18,052","18,052","1,109","1,513","2,588","2,390","2,914","2,883","2,554","1,393","597","104","7"
"서울특별시 중랑구 묵제2동(1126063000)","9,428","9,428","523","622","1,310","1,572","1,437","1,586","1,411","718","235","13","1","9,710","9,710","494","573","1,372","1,452","1,382","1,647","1,587","811","342","48","2"
"서울특별시 중랑구 망우본동(1126065500)","15,120","15,120","750","918","2,101","2,106","2,166","2,821","2,602","1,255","364","34","3","15,045","15,045","709","930","2,072","1,938","1,887","2,788","2,589","1,358","652","117","5"
"서울특별시 중랑구 망우제3동(1126066000)","8,384","8,384","399","518","1,172","1,108","1,183","1,656","1,425","672","234","17","0","8,302","8,302","342","604","1,115","921","1,149","1,595","1,384","784","332","74","2"
"서울특별시 중랑구 신내1동(1126068000)","18,983","18,983","1,646","1,915","2,493","2,384","2,919","3,058","2,756","1,296","479","37","0","20,035","20,035","1,536","1,831","2,368","2,493","2,973","3,385","2,950","1,507","796","186","10"
"서울특별시 중랑구 신내2동(1126069000)","9,934","9,934","657","856","1,294","1,393","1,552","1,645","1,540","698","268","29","2","10,955","10,955","645","841","1,217","1,485","1,589","1,851","1,801","931","522","71","2"
"서울특별시 성북구 (1129000000)","209,407","209,407","14,547","18,657","31,838","29,602","33,971","34,092","26,241","14,322","5,627","484","26","224,581","224,581","13,961","18,071","34,438","29,743","34,925","35,001","29,528","18,504","8,845","1,486","79"
"서울특별시 성북구 성북동(1129052500)","7,773","7,773","365","611","1,262","1,172","1,204","1,293","974","549","299","37","7","8,906","8,906","391","551","1,519","1,285","1,314","1,448","1,121","761","411","95","10"
"서울특별시 성북구 삼선동(1129055500)","10,992","10,992","558","969","1,874","1,588","1,724","1,828","1,349","748","323","28","3","12,068","12,068","521","876","2,316","1,654","1,807","1,843","1,410","1,042","514","74","11"
"서울특별시 성북구 동선동(1129057500)","6,527","6,527","276","421","1,436","1,146","957","974","680","445","169","22","1","8,971","8,971","290","545","2,985","1,350","1,045","976","827","597","297","48","11"
"서울특별시 성북구 돈암제1동(1129058000)","6,979","6,979","391","616","924","974","978","1,285","1,020","567","205","19","0","7,923","7,923","406","652","1,075","994","1,120","1,392","1,166","702","362","50","4"
"서울특별시 성북구 돈암제2동(1129059000)","11,479","11,479","984","1,404","1,419","1,389","2,076","1,961","1,298","634","280","34","0","12,730","12,730","974","1,384","1,516","1,554","2,333","2,135","1,459","832","445","95","3"
"서울특별시 성북구 안암동(1129060000)","7,508","7,508","217","436","2,641","1,138","831","989","686","392","165","11","2","7,430","7,430","214","410","2,470","878","794","1,004","770","561","281","44","4"
"서울특별시 성북구 보문동(1129061000)","7,456","7,456","478","447","1,269","1,321","1,185","1,201","916","458","175","5","1","8,029","8,029","488","481","1,343","1,259","1,191","1,293","1,025","608","285","53","3"
"서울특별시 성북구 정릉제1동(1129062000)","8,846","8,846","728","879","1,127","1,291","1,512","1,406","1,055","582","247","19","0","9,519","9,519","663","873","1,147","1,322","1,625","1,445","1,217","788","375","60","4"
